t_s,Thot_FGM,Tcold_FGM,Thot_BI,Tcold_BI,sigVM_max_FGM,sigVM_max_BI,delta_FGM_um,delta_BI_um
0,600,600,600,600,187.813646385809,146.673688900351,870.698474546867,1652.97539105756
0.01,600.258694488623,600.000005445296,600.367149710572,600.000001538781,187.228929334993,146.814247168361,868.839536662635,1650.79138552299
0.02,600.631756072172,600.000079360491,600.961240348779,600.000026184015,186.513303791103,147.084156639112,865.00686865483,1646.01735719295
0.03,601.071492637181,600.000457552536,601.70942759004,600.000172256464,185.780660902028,147.438507771569,859.572631314087,1639.00095378971
0.04,601.561245377435,600.001628769682,602.576120025232,600.000685941989,185.061118260135,147.853177228953,852.797633193083,1630.0493545348
0.05,602.092392556526,600.004309157199,603.538049227075,600.001996317329,184.365231521243,148.314352510544,844.884469937397,1619.42951641991
0.06,602.659566018116,600.009345724567,604.578605678099,600.004696445135,183.696678296309,148.813339004827,835.996905026347,1607.37162595467
0.07,603.259037783,600.017612317366,605.685469988551,600.009489134487,183.056315719036,149.34423706173,826.269350642674,1594.07317998412
0.08,603.888030906927,600.029933075768,606.849287830477,600.017124070964,182.443785129134,149.902819413875,815.812773427042,1579.70292628456
0.09,604.544375891933,600.047039181545,608.062826805623,600.02834379978,181.858221960086,150.485933516191,804.719006818345,1564.40452817388
0.1,605.226319218664,600.069551542869,609.320407442176,600.043845101253,181.298586668586,151.091155703147,793.064159848576,1548.29992445472
0.11,605.93240724499,600.097979874554,610.617506562882,600.064255521013,180.763820038043,151.716577198442,780.911398517569,1531.49236898137
0.12,606.661410947751,600.132730616467,611.95047467904,600.090122012836,180.252912957111,152.360664478367,768.313238070602,1514.06914257253
0.13,607.412274437229,600.174118747839,613.316331121116,600.121908150552,179.764933748048,153.022164244969,755.313435266174,1496.10394155296
0.14,608.184078161786,600.222380620607,614.712613296334,600.159996847948,179.299034600528,153.700036576435,741.948548731102,1477.65895809881
0.15,608.976011675677,600.277686298016,616.137264270928,600.204696273517,178.854448151794,154.393406641612,728.249223474801,1458.78667542077
0.16,609.787352925602,600.340150702157,617.588547884592,600.256247347583,178.430479894082,155.101529071104,714.241246724654,1439.53140523635
0.17,610.617452162839,600.409843330424,619.064983907756,600.314831765943,178.026499292874,155.82376119977,699.946414759475,1419.93059658277
0.18,611.465719251201,600.486796539659,620.565297973516,600.38057989899,177.641931022915,156.55954267021,685.38324396486,1400.01594459916
0.19,612.331613538187,600.571012509393,622.088382532161,600.453578194639,177.276246953066,157.308379685044,670.567553750173,1379.81432623903
0.2,613.214635703559,600.662469040132,623.633266124653,600.533875897475,176.928959107425,158.069832712108,655.512944237965,1359.34858749828
0.21,614.114321159134,600.76112435082,625.199089004039,600.621491014047,176.599613629754,158.84350679148,640.231187619905,1338.63820410529
0.22,615.030234680468,600.866921030727,626.78508365166,600.71641552512,176.287785682772,159.629043828072,624.732548745803,1317.6998349319
0.23,615.961966025664,600.979789284286,628.390559104362,600.818619886259,175.993075177188,160.426116416828,609.026047729154,1296.54778482393
0.24,616.909126350295,601.099649589187,630.014888275704,600.928056878917,175.715103215652,161.234422863157,593.119675063314,1275.19439120309
0.25,617.871345267234,601.226414869503,631.657497648193,601.044664882644,175.453509142492,162.053683143999,577.020567852492,1253.65034667953
0.26,618.848268430721,601.359992269534,633.317858857028,601.168370639719,175.207948100693,162.883635615315,560.735154205086,1231.92496806178
0.27,619.839555547345,601.500284599503,634.995481792231,601.299091580402,174.978089010609,163.724034316098,544.269271567191,1210.02642054123
0.28,620.844878735395,601.64719151205,636.689908926645,601.436737771012,174.763612897802,164.574646752167,527.628263722164,1187.96190443445
0.29,621.863921168768,601.800610458005,638.40071063821,601.58121354066,174.56421150859,165.435252067928,510.817060329414,1165.73781068712
0.3,622.896375953499,601.960437461625,640.127481342123,601.732418835756,174.37958616267,166.305639533333,493.840242169907,1143.35985034009
0.31,623.941945194563,602.126567747839,641.869836284904,601.890250344694,174.209446800509,167.185607288,476.702094693073,1120.83316230183
0.32,625.000339218392,602.298896248616,643.62740888113,602.054602429324,174.053511190728,168.074961295799,459.406651988095,1098.16240305876
0.33,626.071275922964,602.477318010491,645.399848496058,602.225367894394,173.911504268737,168.973514472297,441.957732917696,1075.35182135599
0.34,627.154480232339,602.661728521208,647.186818595591,602.402438621379,173.783157583342,169.881085954456,424.358970833581,1052.40532037053
0.35,628.249683636828,602.85202397048,648.987995199162,602.585706089077,173.668208831582,170.79750048757,406.613838043106,1029.32650948617
0.36,629.356623803351,603.048101456786,650.803065583089,602.775061799814,173.566401466525,171.722587909282,388.725665972151,1006.11874741735
0.37,630.475044243414,603.249859150271,652.631727190992,602.97039762698,173.477484364457,172.656182713748,370.697661810988,982.785178143369
0.38,631.604694028387,603.457196419788,654.473686715926,603.171606097145,173.401211541114,173.598123682501,352.532922276073,959.328760864209
0.39,632.745327543612,603.670013930726,656.328659324712,603.378580617884,173.337341908385,174.548253570349,334.23444501108,935.752294986257
0.4,633.89670427449,603.88821371906,658.196368000393,603.591215660487,173.285639063936,175.506418837357,315.805138055415,912.058440980548
0.41,635.05858861886,604.111699246137,660.076542982824,603.809406905281,173.245871108254,176.472469418886,297.247827730061,888.249737805412
0.42,636.230749721095,604.340375437674,661.968921290745,604.033051355993,173.217810484187,177.44625852757,278.565265223185,864.328617476695
0.43,637.412961324087,604.574148710138,663.873246311797,604.262047428473,173.201233835038,178.427642481759,259.760132115787,840.297417266036
0.44,638.605001636069,604.812926986703,665.789267448995,604.496295018307,173.195921877991,179.416480556133,240.835045032832,816.158389928242
