scenario,case_id,n,tcoat_mm,tsub_mm,Thot_max_FGM,Thot_max_BI,Thot_end_FGM,Thot_end_BI,Tcold_end_FGM,Tcold_end_BI,sigVM_max_FGM,sigVM_max_BI,delta_FGM_um,delta_BI_um,mA_FGM,mA_BI,eta_T,eta_sig,r_end_FGM,r_end_BI
FLIGHT_PROFILE,1,0,0.25,1.25,847.223474879588,847.223474879588,681.11423656037,681.11423656037,617.649523948605,617.649523948605,281.112924855777,281.112924855777,727.336319008721,727.336319008721,11.942864321608,11.942864321608,0,0,0.000867268136230753,0.000867268136230753
FLIGHT_PROFILE,2,1,0.25,1.25,768.35796004814,847.223474879588,658.454401465504,681.11423656037,617.776976598824,617.649523948605,251.599473976188,281.112924855777,39.1323727968203,727.336319008721,12.3049551778995,11.942864321608,0.0930870274134653,0.104987883053512,0.000873150645383042,0.000867268136230753
FLIGHT_PROFILE,3,2,0.25,1.25,786.498482561535,847.223474879588,663.599856144631,681.11423656037,617.690369611583,617.649523948605,203.919123084425,281.112924855777,338.750173639009,727.336319008721,12.1866842951913,11.942864321608,0.0716752947936001,0.274600685155107,0.000859003588432461,0.000867268136230753
FLIGHT_PROFILE,4,3,0.25,1.25,798.498423458243,847.223474879588,667.016571168698,681.11423656037,617.657049745698,617.649523948605,198.512101487821,281.112924855777,468.966754442259,727.336319008721,12.1275259951431,11.942864321608,0.0575114510705339,0.293835025231708,0.000854592962529205,0.000867268136230753
FLIGHT_PROFILE,5,4,0.25,1.25,806.652991814003,847.223474879588,669.345439211669,681.11423656037,617.642127214876,617.649523948605,201.23936479031,281.112924855777,538.213372850796,727.336319008721,12.0920340476244,11.942864321608,0.0478864010128513,0.284133360664388,0.000853341372074234,0.000867268136230753
FLIGHT_PROFILE,6,5,0.25,1.25,812.485579054962,847.223474879588,671.016003257255,681.11423656037,617.634948514284,617.649523948605,205.777709024862,281.112924855777,579.906505017379,727.336319008721,12.0683751320641,11.942864321608,0.041002045923672,0.267989157273952,0.000853273445019198,0.000867268136230753
FLIGHT_PROFILE,7,0,0.45,1.05,924.633361471392,924.633361471392,704.925918368908,704.925918368908,617.767138688952,617.767138688952,314.182798326928,314.182798326928,1123.9718593559,1123.9718593559,11.3862814070352,11.3862814070352,0,0,0.000933382538341029,0.000933382538341029
FLIGHT_PROFILE,8,1,0.45,1.05,784.793461605092,924.633361471392,663.050463042592,704.925918368908,617.568837222196,617.767138688952,161.947735811829,314.182798326928,607.637025305182,1123.9718593559,12.0209623494356,11.3862814070352,0.151238215808879,0.484542958194319,0.00083773011650684,0.000933382538341029
FLIGHT_PROFILE,9,2,0.45,1.05,817.519260173251,924.633361471392,672.499692589595,704.925918368908,617.45863556514,617.767138688952,122.968028785211,314.182798326928,994.453959219109,1123.9718593559,11.8079845457602,11.3862814070352,0.115844945425382,0.608609925686465,0.000822496260331876,0.000933382538341029
FLIGHT_PROFILE,10,3,0.45,1.05,839.180632852263,924.633361471392,678.804753564609,704.925918368908,617.438431999958,617.767138688952,130.17859487213,314.182798326928,1128.96871875449,1123.9718593559,11.7014769458821,11.3862814070352,0.0924179595717225,0.585659700132053,0.000824466455471605,0.000933382538341029
FLIGHT_PROFILE,11,4,0.45,1.05,853.915680092623,924.633361471392,683.131572374785,704.925918368908,617.44534824084,617.767138688952,147.731169681643,314.182798326928,1183.67600089435,1123.9718593559,11.6375694289494,11.3862814070352,0.0764818622445487,0.529792304135253,0.000830945546478421,0.000933382538341029
FLIGHT_PROFILE,12,5,0.45,1.05,864.457182276918,924.633361471392,686.254271739723,704.925918368908,617.460939485516,617.767138688952,163.120279481944,314.182798326928,1207.23000227195,1123.9718593559,11.5949619977327,11.3862814070352,0.0650811248024988,0.480810915331504,0.000838287565689413,0.000933382538341029
FLIGHT_PROFILE,13,0,0.65,0.85,1004.16296095245,1004.16296095245,733.807057070287,733.807057070287,618.627419877405,618.627419877405,371.644676039533,371.644676039533,804.452808162308,804.452808162308,10.8082914572864,10.8082914572864,0,0,0.00114638424316557,0.00114638424316557
FLIGHT_PROFILE,14,1,0.65,0.85,801.139970461311,1004.16296095245,667.829092523406,733.807057070287,617.415227560051,618.627419877405,96.7741912718259,371.644676039533,975.390600093386,804.452808162308,11.736977795821,10.8082914572864,0.202181317560821,0.739605603117716,0.000812926185058216,0.00114638424316557
FLIGHT_PROFILE,15,2,0.65,0.85,848.439642679155,1004.16296095245,681.76207211958,733.807057070287,617.330990477129,618.627419877405,122.347216679241,371.644676039533,1337.48714248141,804.452808162308,11.429330253446,10.8082914572864,0.155077735714923,0.670795185382324,0.000808645346603274,0.00114638424316557
FLIGHT_PROFILE,16,3,0.65,0.85,879.800751579755,1004.16296095245,691.163921603876,733.807057070287,617.37308446355,618.627419877405,183.936676701801,371.644676039533,1404.28274811152,804.452808162308,11.2754953117722,10.8082914572864,0.123846640643607,0.505073828416057,0.000829656276397097,0.00114638424316557
FLIGHT_PROFILE,17,4,0.65,0.85,901.140705610177,1004.16296095245,697.703633304697,733.807057070287,617.448366493519,618.627419877405,216.238202513288,371.644676039533,1394.23003143711,804.452808162308,11.1831936570791,10.8082914572864,0.102595155715124,0.418158750940143,0.000855649902165727,0.00114638424316557
